StudentID,IAT1,IAT2,Model_Mark,Prev_Year_Label,Label
S080001,71,32,73,Good,Good
S080002,39,98,58,Poor,Poor
S080003,37,37,29,Good,Poor
S080004,94,66,65,Good,Good
S080005,56,59,99,NIL,Poor
S080006,22,57,34,Poor,Average
S080007,73,45,39,Good,Average
S080008,43,48,67,Good,Poor
S080009,66,92,47,Poor,Average
S080010,86,57,32,NIL,Poor
S080011,59,49,46,NIL,Poor
S080012,63,99,88,Good,Good
S080013,93,27,50,Poor,Average
S080014,54,83,99,Poor,Poor
S080015,85,69,34,Poor,Good
S080016,26,71,95,NIL,Good
S080017,58,79,42,Average,Average
S080018,94,84,97,Poor,Poor
S080019,23,98,67,Poor,Good
S080020,51,34,34,NIL,Poor
S080021,49,86,58,NIL,Average
S080022,67,92,48,NIL,Good
S080023,49,50,73,NIL,Poor
S080024,20,48,67,Average,Good
S080025,77,93,40,NIL,Poor
S080026,60,95,60,Poor,Poor
S080027,76,20,91,Poor,Average
S080028,53,69,23,Poor,Poor
S080029,25,38,20,Poor,Good
S080030,42,58,23,Average,Average
S080031,31,85,63,Poor,Good
S080032,33,58,83,Good,Good
S080033,31,93,54,NIL,Poor
S080034,78,56,46,Poor,Poor
S080035,72,73,38,NIL,Average
S080036,33,37,25,NIL,Average
S080037,21,46,85,NIL,Poor
S080038,29,62,100,Average,Good
S080039,70,84,98,Average,Poor
S080040,31,72,26,Good,Average
S080041,89,73,32,NIL,Poor
S080042,30,68,36,Good,Average
S080043,43,27,31,Average,Good
S080044,54,51,81,NIL,Poor
S080045,64,82,42,Good,Average
S080046,99,82,68,Poor,Average
S080047,81,78,72,Average,Average
S080048,38,27,88,NIL,Poor
S080049,86,63,66,Poor,Good
S080050,67,59,78,Poor,Good
S080051,80,56,48,Average,Average
S080052,29,35,25,Good,Average
S080053,34,33,86,Poor,Average
S080054,80,93,28,NIL,Good
S080055,52,33,33,Good,Good
S080056,28,78,59,Good,Average
S080057,30,32,70,Good,Average
S080058,77,55,75,Poor,Average
S080059,98,65,73,NIL,Poor
S080060,30,51,54,Poor,Average
S080061,76,27,57,Average,Poor
S080062,73,30,28,Poor,Poor
S080063,85,95,77,Good,Poor
S080064,23,30,68,NIL,Average
S080065,67,100,38,Average,Good
S080066,26,69,46,Average,Good
S080067,86,79,62,Poor,Poor
S080068,45,41,34,Poor,Poor
S080069,52,83,87,Poor,Average
S080070,29,43,21,Good,Poor
S080071,70,88,70,Good,Average
S080072,54,78,100,Average,Average
S080073,79,87,69,Good,Average
S080074,34,77,75,NIL,Good
S080075,97,80,32,Good,Poor
S080076,79,86,74,NIL,Poor
S080077,65,54,40,Average,Average
S080078,89,33,21,NIL,Poor
S080079,68,49,40,Average,Good
S080080,41,65,25,NIL,Good
S080081,65,99,76,Average,Poor
